Région,Chef-lieu de région
Auvergne-Rhône-Alpes,Lyon
Bourgogne-Franche-Comté,Dijon
Bretagne,Rennes
Centre-Val de Loire,Orléans
Corse,Ajaccio
Grand Est,Strasbourg
Hauts-de-France,Lille
Île-de-France,Paris
Normandie,Rouen
Nouvelle-Aquitaine,Bordeaux
Occitanie,Toulouse
Pays de la Loire,Nantes
Provence-Alpes-Côte d'Azur,Marseille
Guadeloupe,Basse-Terre
Martinique,Fort-de-France
Guyane,Cayenne
La Réunion,Saint-Denis
Mayotte,Mamoudzou
