Nom Ville,MAJ,Code Postal,Code INSEE,Latitude,Longitude,Eloignement,Departement
Saint-Simon,SAINT SIMON,16120,16352,45.65,-0.066667,1.11,79
Saint-Simon,SAINT SIMON,46320,46292,44.7,1.866667,1,60
Saint-Simon-de-Bordes,SAINT SIMON DE BORDES,17500,17403,45.4,-0.45,1.55,80
Saint-Simon-de-Pellouaille,SAINT SIMON DE PELLOUAILLE,17260,17404,45.616667,-0.7,0.7,80
Saint-Sixt,SAINT SIXT,74800,74253,46.05,6.333333,0.84,96
Saint-Sixte,SAINT SIXTE,42130,42288,45.783333,3.983333,1.1,93
Saint-Solen,SAINT SOLEN,22100,22329,48.45,-1.983333,2.15,16
Saint-Solve,SAINT SOLVE,19130,19242,45.3,1.4,1.65,49
Saint-Sorlin,SAINT SORLIN,69440,69237,45.616667,4.633333,1.51,94
Saint-Sorlin-d'Arves,SAINT SORLIN D ARVES,73530,73280,45.216667,6.233333,2.68,95
Saint-Sorlin-de-Cônac,SAINT SORLIN DE CONAC,17150,17405,45.366667,-0.683333,1.68,80
Saint-Sorlin-de-Morestel,SAINT SORLIN DE MORESTEL,38510,38458,45.633333,5.483333,1.48,92
Saint-Sorlin-en-Bugey,SAINT SORLIN EN BUGEY,01150,01386,45.883333,5.366667,1.21,89
Saint-Sorlin-en-Valloire,SAINT SORLIN EN VALLOIRE,26210,26330,45.283333,4.95,2.24,91
Saint-Sornin,SAINT SORNIN,03240,03260,46.416667,3.016667,1.11,8
Saint-Sornin,SAINT SORNIN,16220,16353,45.7,0.433333,1.3,79
Saint-Sornin,SAINT SORNIN,17600,17406,45.766667,-0.983333,1.52,80
Saint-Sornin,SAINT SORNIN,85540,85270,46.483333,-1.366667,1.07,75
Saint-Sornin-la-Marche,SAINT SORNIN LA MARCHE,87210,87179,46.183333,0.983333,1.53,51
Saint-Sornin-Lavolps,SAINT SORNIN LAVOLPS,19230,19243,45.383333,1.366667,1.78,49
Saint-Sornin-Leulac,SAINT SORNIN LEULAC,87290,87180,46.2,1.3,1.62,51
Saint-Soulan,SAINT SOULAN,32220,32407,43.5,0.85,1.34,59
Saint-Souplet,SAINT SOUPLET,59360,59545,50.05,3.533333,1.64,64
Saint-Souplet-sur-Py,SAINT SOUPLET SUR PY,51600,51517,49.233333,4.466667,1.45,28
Saint-Soupplets,SAINT SOUPPLETS,77165,77437,49.033333,2.8,1.72,40
Saint-Sozy,SAINT SOZY,46200,46293,44.883333,1.566667,1.6,60
Saint-Stail,SAINT STAIL,88210,88436,48.366667,7.066667,2.08,55
Saint-Suliac,SAINT SULIAC,35430,35314,48.566667,-1.966667,1.87,18
Saint-Sulpice,SAINT SULPICE,41000,41230,47.6,1.266667,1.5,24
Saint-Sulpice,SAINT SULPICE,53360,53254,47.9,-0.716667,1.23,73
Saint-Sulpice,SAINT SULPICE,58270,58269,47.05,3.35,1.45,13
Saint-Sulpice,SAINT SULPICE,60430,60598,49.366667,2.116667,1.27,77
Saint-Sulpice,SAINT SULPICE,63760,63399,45.65,2.633333,2.13,11
Saint-Sulpice,SAINT SULPICE,70110,70474,47.566667,6.45,1.26,34
Saint-Sulpice-d'Arnoult,SAINT SULPICE D ARNOULT,17250,17408,45.8,-0.85,0.9,80
Saint-Sulpice-de-Cognac,SAINT SULPICE DE COGNAC,16370,16355,45.766667,-0.383333,2.4,79
Saint-Sulpice-de-Faleyrens,SAINT SULPICE DE FALEYRENS,33330,33480,44.866667,-0.183333,1.61,4
Saint-Sulpice-de-Favières,SAINT SULPICE DE FAVIERES,91910,91578,48.533333,2.183333,0.61,37
Saint-Sulpice-de-Mareuil,SAINT SULPICE DE MAREUIL,24340,24503,45.466667,0.5,1.83,3
Saint-Sulpice-de-Pommiers,SAINT SULPICE DE POMMIERS,33540,33482,44.666667,-0.116667,0.98,4
Saint-Sulpice-de-Roumagnac,SAINT SULPICE DE ROUMAGNAC,24600,24504,45.2,0.4,1.22,3
Saint-Sulpice-de-Royan,SAINT SULPICE DE ROYAN,17200,17409,45.666667,-1.016667,1.44,80
Saint-Sulpice-de-Ruffec,SAINT SULPICE DE RUFFEC,16460,16356,45.941667,0.316667,1.58,79
Saint-Sulpice-des-Rivoires,SAINT SULPICE DES RIVOIRES,38620,38460,45.466667,5.6,0.85,92
Saint-Sulpice-d'Excideuil,SAINT SULPICE D EXCIDEUIL,24800,24505,45.383333,1,1.45,3
Saint-Sulpice-en-Pareds,SAINT SULPICE EN PAREDS,85410,85271,46.6,-0.833333,1.21,75
Saint-Sulpice-et-Cameyrac,SAINT SULPICE ET CAMEYRAC,33450,33483,44.916667,-0.4,0.52,4
Saint-Sulpice-la-Forêt,SAINT SULPICE LA FORET,35250,35315,48.216667,-1.583333,1.12,18
